movie_name,language
Zhagaram,Tamil
Up Up & Up,Telugu
Matir Manush,Bengali
Protishodh,Bengali
Janaadhipan,Malayalam
Nikka Zaildar 3,Punjabi
Raja Vaaru Raani Gaaru,Tamil
Brother's Day (Malayalam),Malayalam
The Grudge,Tamil
Action,Tamil
"KANJI ISHIWARA, THE MAN WHO TRIGGERED THE WAR",English
Lucifer (Malayalam),Malayalam
Fan,Kannada
Heza,Telugu
The Super Simple Show - Christmas,English
Tu Mera Ki Lagda,Punjabi
Jyeshthoputro,Bengali
Birpursh The Hero Within,Bengali
Adithya Varma,Tamil
Weapons of Mass Surveillance,English
Motherless Brooklyn,English
Chhota Bheem Vs Zimbara,Hindi
Up Up & Up,Malayalam
Maunn,Hindi
15 Lakh Kadon Aauga,Punjabi
Kannad Gothilla,Kannada
Virus,Malayalam
Akkal Badi Ke Cash,Gujarati
Vinci Da,Bengali
Chiara Ferragni Unposted,English
Anna,English
The Captain,English
Paddehuli,Kannada
Untamed Romania,English
Sobuj Choshma,Bengali
Aami Ashbo Phirey,Bengali
Bigil,Tamil
Nadhoo Khan,Punjabi
Vajra Kavachadhara Govinda,Telugu
Aruvam,Tamil
Lisaa,Telugu
Romantic Criminals,Telugu
Yaanaa,Kannada
Sing Along With Tobee 4 - Super Simple,English
Kesari,Hindi
Flat No 609,Bengali
Angkor Awakens,English
Malli Malli Chusa,Telugu
Mighty Raju - Most Wanted,Hindi
IT Chapter Two,Telugu
The Wife,English
Zombieland: Double Tap,Tamil
Mighty Raju - Space Race,Hindi
Pokémon Detective Pikachu,Hindi
Fastey Fasaatey,Hindi
IT Chapter Two,English
Amma Rajyam Lo Kadapa Biddalu,Telugu
REVENGE OF THE GEEKS,English
Srimati 21 F,Telugu
90ML,Telugu
"Jack London, An American Adventure",English
Helen,Malayalam
Chilappol Penkutty,Malayalam
Generation Aami,Bengali
Magnolia,English
Uda Aida,Punjabi
Hero,Tamil
Chal Mera Putt,Punjabi
Wadi Rum,English
Section 375,Hindi
Overcomer,Tamil
The Wizard of H2O,English
Mar Jaris,English
Jumanji: The Next Level,Tamil
Kaanal Neer,Tamil
Annabelle Comes Home,Hindi
Vadaladu,Telugu
Mighty Raju: Chakde,Hindi
The Wild Horse Redemption,English
Don't Look,English
Deeper,English
Blackia,Punjabi
Prema Katha Chitram 2,Telugu
Laal Kaptaan,Hindi
Ujda Chaman,Hindi
Nishant Tanwar: Gaadi Tera Bhai Chalayega,Hindi
Kettiyolaanu Ente Malakha,Malayalam
Thrissur Pooram,Malayalam
THE ROLLING STONES: ROCK OF AGES,English
Bibaho Obhijaan,Bengali
Zombieland: Double Tap,Hindi
Viswasam,Tamil
Love for the Game,English
Dhunki,Gujarati
Boobs,English
Adventures Of Jojo,Bengali
DSP DEV,Punjabi
SP Chauhan: A Struggling Man,Hindi
Rama Chakkani Seetha,Telugu
Me Pan Sachin,Marathi
The Courier,Hindi
"Ears, Eyes and Throats: Restored Classic and Lost Punk Films 1976-1981",English
A Beautiful Day in the Neighborhood,Telugu
Saheb,Gujarati
100,Malayalam
Ratnamanjari,Kannada
Jallikattu,Malayalam
Blackie & Kanuto ( In Hindi ),Hindi
Food Patriots,English
47 Dhansukh Bhawan,Gujarati
Up Up & Up,Tamil
Vicky Velingkar,Marathi
The Super Simple Show - Animals,English
On Day Eight,English
One Day: Justice Delivered,Hindi
Rajdooth,Telugu
Job: Astronaut!,English
War (Telugu),Telugu
Miranda House,Marathi
Vinara Sodara Veera Kumara,Telugu
Sye Raa Narasimha Reddy (Hindi),Hindi
Mafi Dona,Malayalam
Lucifer (Telugu),Telugu
Captive State,English
Manoharam,Malayalam
Nuvvu Thopu Raa,Telugu
Annabelle Comes Home,Telugu
Living with Wolves,English
Vrithra,Kannada
Jaguar:Going Electric,English
Up Up & Up,English
Gantumoote,Kannada
Software Sudheer,Telugu
Kadaram Kondan,Tamil
Master Stroke,Gujarati
Ragala 24 Gantallo,Telugu
Fukushima,English
Fortuner,Kannada
Honey Boy,Telugu
Ellis Island: The Making of a Master Race in America,English
Danob,Bengali
Sky and Ground,English
Goyenda Junior,Bengali
Creating An Ocean,English
Raatchasi,Tamil
The Super Simple Show - Underwater,English
Kobbari Matta,Telugu
Inside Facebook,English
Asuran,Tamil
Pengalila,Malayalam
Etai Swargo,Bengali
MAHIRA,Kannada
Airaa (Telugu),Telugu
Triple Seat,Marathi
Bailampudi,Telugu
Menka Urvashi,Marathi
Dead Trigger,English
Puppy,Tamil
KNIVES OUT,English
Irupathiyonnaam Noottaandu,Malayalam
Ashkelon National Park,English
Joyee,Bengali
The Super Simple Show - Halloween,English
Bhoot Chaturdashi,Bengali
Android Kunjappan Ver 5.25,Malayalam
Sing Along With Tobee 2 - Super Simple,English
The Super Simple Show - Space & Planets,English
Avengement,English
I Love My Muslim,English
Majili,Hindi
Biswasghatak,Bengali
Running for Good,English
Jack & Daniel,Malayalam
Mathu Vadalara,Telugu
Unmadiyude Maranam | ഉന്മാദിയുടെ മരണം,English
Ittymaani: Made in China,Malayalam
A Mini Adventure,English
Old MacDonald Had a Farm & More Kids Songs - Super Simple Songs,English
Geetha,Kannada
99,Kannada
Peranbu (Malayalam),Malayalam
KROOS,English
Durgeshgorer Guptodhon,Bengali
Mithai,Tamil
Kathanam,Telugu
Raghu Rai: An Unframed Portrait,English
Mamangam,Tamil
Venky Mama,Telugu
Calcutta 71,Bengali
Birbal Trilogy,Kannada
Jumanji: The Next Level,English
Saadi Marzi,Punjabi
Guava Island,English
Iddari Lokam Okate,Telugu
Gujarat 11,Gujarati
Natoker Moto,Bengali
Montu Ni Bittu,Gujarati
Dabangg 3,Hindi
Tidal,English
V1 Murder Case,Tamil
Premer Guarantee,Bengali
Maharshi,Telugu
Mission GoldFish,Hindi
Ayogya,Tamil
Heera aur lutere ( In Hindi ),Hindi
Katha Sangama,Kannada
Raja Vaaru Raani Gaaru,Telugu
Action (Telugu),Telugu
Aadai,Tamil
Parasite,Hindi
Krantikaal,Bengali
The Caravan Film,English
Red Light Green Light,English
Where is the Venkatalakshmi,Telugu
Sita,Telugu
Falaknuma Das,Telugu
Pygmies - The Children Of The Jungle,English
Pet Sematary (2019),English
Richard Jewell,English
Chousar Firangi,Hindi
Pata Nahi Par Bolna Hai,Hindi
Shark Divers,English
Parting Ways: An unauthorized story on life after the Beatles,English
Bobbyr Bondhura,Bengali
Safe,Malayalam
Majili,Telugu
Kumbalangi Nights,Malayalam
Crawl,English
Photograph,Hindi
Carl's Car Wash 2,English
Omo Child,English
Hawaa,Telugu
That Man In The Picture,Hindi
City of bazar,Bengali
Unda,Malayalam
Pinkfong and Baby Shark's Space Adventure,English
Judgement,Marathi
Dennis Rodman’s Big Bang in Pyongyang,English
Porinju Mariam Jose,Malayalam
Alidu Ulidavaru,Kannada
Bornoporichoy,Bengali
Ayogya (Malayalam),Malayalam
