movie_name,language,year_of_release,maturity_rating,total_running_time_minutes,imdb_ratings
Bazar,Hindi,None,NR,148,6
LOL,English,2012,16+,92,4.4
Amari Duniya Tamari Duniya,Gujarati,2007,All,133,0
Project Y,English,2020,13+,44,0
Robin Hood,English,2010,13+,140,6.6
Mardaani,Hindi,2014,18+,113,7.3
Simham Puli,Telugu,2011,NR,154,0
Go For Goals,Bengali,2017,13+,101,0
Autograph,Bengali,2017,13+,132,7.4
The Cabin Guard,Bengali,2019,13+,85,4.9
Ondu Hennina Kathe,Kannada,1972,NR,147,0
The Forgotten Genocide: Europe's Gypsies in World War II,English,2020,13+,75,8.2
Ulagam Pirandhadhu Enakkaga,Tamil,1990,All,148,0
HAK_MTL,English,2020,13+,67,6.1
The Lego Movie,English,2014,All,100,7.7
Zoo Laka Taka,Telugu,1989,NR,96,6
Life is Beautiful,Hindi,2014,NR,116,0
Chanda,Kannada,2007,NR,154,0
Saawariya - Khatu Shyam Ji Ki Amar Gatha,Hindi,2013,NR,123,0
London Has Fallen,Hindi,2016,18+,94,5.9
Summer in Bethlehem,Malayalam,1998,All,154,7.8
Tarpan,Hindi,1995,NR,124,0
Michael,Bengali,2018,13+,133,5.7
King - Malayalam,Malayalam,2002,NR,157,0
Quick,English,2011,16+,107,5.8
Hey Ram,Hindi,2000,NR,199,7.9
Karpagam,Tamil,1963,All,169,7.4
Vellinakshatram,Malayalam,2004,All,156,4.8
Jeevan Ek Sanghursh,Hindi,1990,All,159,4.9
Bal Ganesh and PomZom Planet (Tamil),Tamil,2017,All,80,0
Vaagai Sooda Vaa,Tamil,2011,All,125,8
Anne Frank: A Sister's Story,English,2020,13+,23,0
Bal Ganesh (Gujarati),Gujarati,2007,All,102,6.9
Honeymoon Travels Pvt Ltd,Hindi,2007,13+,119,6.1
Dishoom,Hindi,2016,NR,121,5.1
Mayuri,Malayalam,2000,NR,78,0
On Going Home,English,2020,13+,19,0
Telangana's Pride - Nagoba Jathara,English,2020,13+,58,0
Sharkwater Extinction,English,2019,16+,84,7.7
Generation Wealth,English,2018,18+,106,6.7
Aakrosh,Hindi,2010,18+,145,7
Zombieland: Double Tap,Telugu,2019,18+,99,6.7
Loki,Kannada,2013,NR,136,0
Invisible Wildlife Photographer,English,2019,13+,51,0
Nivuru,Telugu,2018,18+,132,0
Sesh Parba,Bengali,1972,NR,126,0
Appetite for Destruction: The Palm Oil Diaries,English,2020,13+,60,5.3
King Solomon,Malayalam,1996,NR,147,6.8
Punnami Naagu,Telugu,1980,18+,130,7.2
Aurangzeb,Hindi,2013,16+,137,6.5
Nirbachana,English,1994,NR,102,6
Jaganmohini,Telugu,1978,All,146,6.6
American Hustle,English,2013,18+,138,7.2
The Pom Pom Girls,English,1976,18+,89,5
Vaai Kozhuppu,Tamil,1989,NR,137,3.6
